anomaly_score,is_anomaly
0.40486129774264246,0
0.41910753153378305,0
0.4217576870843347,0
0.43169553295530144,0
0.41065785233169694,0
0.4236728724941979,0
0.4078421003891012,0
0.4337799907754571,0
0.43420131971028375,0
0.4322366278242459,0
0.4516196413921539,1
0.41025781203736145,0
0.4133374029621906,0
0.42029341277114984,0
0.4565707916032389,1
0.43791241056241403,0
0.4019255835344973,0
0.4027495502451538,0
0.3858481097392073,0
0.40818190355355605,0
0.3954717004104792,0
0.40607956922542593,0
0.40473582053139706,0
0.4466594973053983,1
0.4367462525583326,0
0.42835971236148296,0
0.4003548991463634,0
0.42710003489534665,0
0.41000653358796935,0
0.39360098052920733,0
0.40152824694284384,0
0.41528405238993393,0
0.4034881423732769,0
0.42734310521929525,0
0.40839845820632287,0
0.40080124112932514,0
0.45960359396108164,1
0.4084851009688507,0
0.42637103270846616,0
0.3873749306346622,0
0.43169955982529734,0
0.39477579595667595,0
0.39965441871185114,0
0.42862792259611665,0
0.44608554873730644,1
0.4047628045367123,0
0.43527595721627155,0
0.43171224543480885,0
0.4082640412656515,0
0.3751029696299446,0
0.4007552889248462,0
0.4466961541290646,1
0.41738183027860787,0
0.3880832388094866,0
0.44971690425062816,1
0.3970651099288944,0
0.395293808670535,0
0.47755549310366374,1
0.4357816446234133,0
0.39222049629804157,0
0.39357057310801374,0
0.44835234745803787,1
0.41006062397818765,0
0.415452233649886,0
0.4170500522416344,0
0.3903754587727604,0
0.41027114005186127,0
0.40444397539426913,0
0.40717086170350353,0
0.4019190866271293,0
0.41896768974863396,0
0.3990518128842848,0
0.432969872642052,0
0.39951948697415357,0
0.41284826795634394,0
0.3997827456836713,0
0.41101649672940893,0
0.4134662253539631,0
0.4108984228670129,0
0.4072497311334951,0
0.41195827672657537,0
0.4195599734747884,0
0.39479326512967144,0
0.4177240944619413,0
0.4478860635490028,1
0.43948441859291354,0
0.432347164688847,0
0.4182112135895408,0
0.4326290480735882,0
0.4137417699982995,0
0.4141614249617502,0
0.4265599085237503,0
0.4079538870624226,0
0.44674731816907765,1
0.4365662513931257,0
0.42977110561970194,0
0.4499029033693373,1
0.4134107481229486,0
